Special_Lite;21;3.0
Triple_Espresso;38;7.5
Mild_LATTE;73;2.5
LARGE_Coffee;144;5.0
Cold_cappuccino;287;2.5
SMALL_cappuccino;574;1.5
ICY_LATTE;113;2.5
Double_cappuccino;228;5.0
MED_MOCHA;459;4.5
Special_cappuccino;922;3.0
Triple_Lite;813;8.0
Mild_Coffee;596;2.0
LARGE_MOCHA;163;6.0
Cold_Espresso;334;2.0
SMALL_Espresso;677;1.0
ICY_Coffee;328;2.0
Double_LATTE;667;5.0
MED_cappuccino;310;4.5
Special_Espresso;633;2.75
Triple_cappuccino;244;8.0
Mild_MOCHA;503;2.5
LARGE_cappuccino;1022;6.0
Cold_Lite;1025;2.5
SMALL_Lite;1032;1.5
ICY_MOCHA;1047;2.5
Double_Coffee;42;4.0
MED_Espresso;105;3.75
Special_Lite;232;3.0
Triple_LATTE;487;8.0
Mild_cappuccino;998;2.5
LARGE_Espresso;985;5.0
Cold_cappuccino;960;2.5
SMALL_cappuccino;911;1.5
ICY_cappuccino;814;2.5
Double_MOCHA;621;5.0
MED_Lite;236;4.5
Special_cappuccino;503;3.0
Triple_Coffee;1038;7.5
Mild_Espresso;37;2.0
LARGE_Lite;108;6.0
Cold_LATTE;251;2.5
SMALL_LATTE;538;1.5
ICY_Espresso;77;2.0
Double_cappuccino;192;5.0
MED_cappuccino;423;4.5
Special_LATTE;886;3.0
Triple_MOCHA;777;8.0
Mild_Lite;560;2.5
LARGE_cappuccino;127;6.0
Cold_Coffee;298;2.0
SMALL_Coffee;641;1.0
ICY_Lite;292;2.5
Double_Espresso;631;4.0
MED_LATTE;274;4.5
Special_Coffee;597;2.75
Triple_cappuccino;208;8.0
Mild_cappuccino;467;2.5
LARGE_LATTE;986;6.0
Cold_MOCHA;989;2.5
SMALL_MOCHA;996;1.5
ICY_cappuccino;1011;2.5
Double_Lite;1042;5.0
MED_Coffee;69;3.75
Special_MOCHA;196;3.0
Triple_Espresso;451;7.5
Mild_LATTE;962;2.5
LARGE_Coffee;949;5.0
Cold_cappuccino;924;2.5
SMALL_cappuccino;875;1.5
ICY_LATTE;778;2.5
Double_cappuccino;585;5.0
MED_MOCHA;200;4.5
Special_cappuccino;467;3.0
Triple_Lite;1002;8.0
Mild_Coffee;1037;2.0
LARGE_MOCHA;72;6.0
Cold_Espresso;215;2.0
SMALL_Espresso;502;1.0
ICY_Coffee;41;2.0
Double_LATTE;156;5.0
MED_cappuccino;387;4.5
Special_Espresso;850;2.75
Triple_cappuccino;741;8.0
Mild_MOCHA;524;2.5
LARGE_cappuccino;91;6.0
Cold_Lite;262;2.5
SMALL_Lite;605;1.5
ICY_MOCHA;256;2.5
Double_Coffee;595;4.0
MED_Espresso;238;3.75
Special_Lite;561;3.0
Triple_LATTE;172;8.0
Mild_cappuccino;431;2.5
LARGE_Espresso;950;5.0
Cold_cappuccino;953;2.5
SMALL_cappuccino;960;1.5
ICY_cappuccino;975;2.5
Double_MOCHA;1006;5.0
